id,plant_id,account_type,category,is_active,plant_name,unit,    plant_condition,year,compensation_price,notes
1,PLTA0001,A,ก,1,กรรณิการ์,ต้น,ไม่มีผล/ขนาดเล็ก,2559,250,
2,PLTA0001,A,ก,1,กรรณิการ์,ต้น,มีผล/ขนาดใหญ่,2559,500,
3,PLTA0002,A,ก,1,กระบก,ต้น,ไม่มีผล/ขนาดเล็ก,2559,100,
4,PLTA0002,A,ก,1,กระบก,ต้น,มีผล/ขนาดใหญ่,2559,200,
5,PLTA0003,A,ก,1,กระบาก,ต้น,ไม่มีผล/ขนาดเล็ก,2559,100,
6,PLTA0003,A,ก,1,กระบาก,ต้น,มีผล/ขนาดใหญ่,2559,200,
7,PLTA0004,A,ก,1,กระดังงา,ต้น,ไม่มีผล/ขนาดเล็ก,2559,500,
8,PLTA0004,A,ก,1,กระดังงา,ต้น,มีผล/ขนาดใหญ่,2559,1000,
9,PLTA0005,A,ก,1,กระโดน,ต้น,ไม่มีผล/ขนาดเล็ก,2559,100,
10,PLTA0005,A,ก,1,กระโดน,ต้น,มีผล/ขนาดใหญ่,2559,200,
11,PLTA0006,A,ก,1,กระเบา,ต้น,ไม่มีผล/ขนาดเล็ก,2559,,
12,PLTA0006,A,ก,1,กระเบา,ต้น,มีผล/ขนาดใหญ่,2559,,
13,PLTA0007,A,ก,1,กระถิน,ต้น,ไม่มีผล/ขนาดเล็ก,2559,90,"1) กระถิน มิได้ปลูกเป็นหลักในการดำรงชีพจ่ายเต็มราคาในบัญชี
2) กระถินปลูกเป็นแนวรั้ว
     ก) ถ้าความสูงเกินกว่า 1 เมตร จ่าย 30 บาท ต่อความยาว 1 เมตร
     ข) ถ้าความสูงไม่เกิน 1 เมตร จ่าย 20 บาทต่อความยาว 1 เมตร
3) กระถินที่ปลูกอย่างหนาแน่นหรือปลูกเป็นไร่ถือจ่ายไร่ละ 1,000 บาท"
14,PLTA0007,A,ก,1,กระถิน,ต้น,มีผล/ขนาดใหญ่,2559,120,"1) กระถิน มิได้ปลูกเป็นหลักในการดำรงชีพจ่ายเต็มราคาในบัญชี
2) กระถินปลูกเป็นแนวรั้ว
     ก) ถ้าความสูงเกินกว่า 1 เมตร จ่าย 30 บาท ต่อความยาว 1 เมตร
     ข) ถ้าความสูงไม่เกิน 1 เมตร จ่าย 20 บาทต่อความยาว 1 เมตร
3) กระถินที่ปลูกอย่างหนาแน่นหรือปลูกเป็นไร่ถือจ่ายไร่ละ 1,000 บาท"
15,PLTA0008,A,ก,1,กระถินณรงค์,ต้น,ไม่มีผล/ขนาดเล็ก,2559,450,
